country,coordinates,type,vei,year
Japan,"[32.1, 139.85]",Submarine volcano,2.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,3.0,1970-01-01
Ecuador,"[-1.467, -78.442]",Stratovolcano,3.0,1970-01-01
Japan,"[42.53, 140.83]",Stratovolcano,5.0,1970-01-01
Iceland,"[63.63, -19.05]",Subglacial volcano,4.0,1970-01-01
Indonesia,"[-8.0, 113.342]",Stratovolcano,2.0,1970-01-01
Italy,"[40.821, 14.426]",Complex volcano,3.0,1970-01-01
United States,"[53.42, -168.13]",Shield volcano,2.0,1970-01-01
Japan,"[32.88, 131.1]",Caldera,2.0,1970-01-01
Guatemala,"[14.473, -90.88]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-8.67, 122.45]",Stratovolcano,1.0,1970-01-01
United States,"[53.42, -168.13]",Shield volcano,6.0,1969-12-31
Iceland,"[63.98, -19.7]",Stratovolcano,3.0,1970-01-01
Iceland,"[63.98, -19.7]",Stratovolcano,4.0,1970-01-01
Papua New Guinea,"[-6.092, 155.225]",Pyroclastic shield,6.0,1970-01-01
Indonesia,"[-6.892, 108.4]",Stratovolcano,3.0,1970-01-01
Philippines,"[14.002, 120.993]",Stratovolcano,4.0,1970-01-01
Guatemala,"[14.473, -90.88]",Stratovolcano,3.0,1970-01-01
Iceland,"[63.63, -19.05]",Subglacial volcano,5.0,1970-01-01
Japan,"[31.93, 130.87]",Shield volcano,2.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,3.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,2.0,1970-01-01
Japan,"[43.42, 142.68]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-8.342, 115.508]",Stratovolcano,3.0,1970-01-01
Philippines,"[19.077, 122.202]",Compound volcano,2.0,1970-01-01
Indonesia,"[2.78, 125.48]",Stratovolcano,1.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-8.125, 114.042]",Stratovolcano,5.0,1970-01-01
United States,"[19.475, -155.608]",Shield volcano,0.0,1970-01-01
Papua New Guinea,"[-6.14, 155.195]",Lava cone,3.0,1970-01-01
